,Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
837,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 2,CB Aerospace Pty Ltd,Hemmant,4174.0,,,Prototype testing of proprietary software and hardware utilising wind tunnel facilities to further develop engineering advances in the Chimera vehicle,Hemmant,4174.0,,17/05/2016,Brisbane (C),Brisbane and Redlands,Lytton,38000.0
838,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 2,Bondi Labs Pty Ltd,New Farm,4005.0,,,"Develop a range of disciplines for use in visualisation facilities, technology enhanced classrooms as well as hand held and mobile devices to support student learning.",New Farm,4005.0,,17/05/2016,Brisbane (C),Brisbane and Redlands,McConnel,40000.0
839,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,YFS Ltd,Slacks Creek,4127.0,,,Develop a youth engagement model to help prevent domestic violence,Slacks Creek,4127.0,,3/12/2015,Logan (C),Logan,Waterford,36000.0
840,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,Tejo Cogaso Pty Ltd ATF The Audio Fish Trust,Mountain Creek,4557.0,,,Develop an innovative audiology service accessible to rural and remote patients,Mountain Creek,4557.0,,3/12/2015,Sunshine Coast (R),Sunshine Coast,Buderim,33074.0
841,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,TEI Services Pty Ltd,Bohle,4818.0,,,Develop low cost wireless sensors,Bohle,4818.0,,3/12/2015,Townsville (C),Townsville,Townsville,50000.0
842,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,The Corporations of Professional Ecosystems Pty Ltd,Tingalpa,4173.0,,,EduCorp,Tingalpa,4173.0,,3/12/2015,Brisbane (C),Brisbane and Redlands,Chatsworth,31066.0
843,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,Workingmouse Pty Ltd,St Lucia,4067.0,,,Moving the company's model-Driven engineering approach to software development to a cloud-based approach,St Lucia,4067.0,,3/12/2015,Brisbane (C),Brisbane and Redlands,Maiwar,41153.0
844,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,Truii Pty Ltd,Highgate Hill,4101.0,,,Develop user-friendly charting and mapping functionality,Highgate Hill,4101.0,,3/12/2015,Brisbane (C),Brisbane and Redlands,South Brisbane,48000.0
845,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 3,Engineroom Infrastructure Consulting Pty Ltd,Wootha,4552.0,,,Testing procedures and model for dewatering tailings,Wootha,4552.0,,18/07/2016,Sunshine Coast (R),Sunshine Coast,Glass House,33412.0
846,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 3,Be Psyched Pty Ltd,Townsville City,4810.0,,,Online platform for health professionals,Townsville City,4810.0,,18/07/2016,Townsville (C),Townsville,Townsville,44146.0
847,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 3,Like a Photon Creative Pty Ltd,Woolloongabba,4102.0,,,Develop a children's app,Woolloongabba,4102.0,,18/07/2016,Brisbane (C),Brisbane and Redlands,Miller,29654.0
848,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 3,Watt Utilities Pty Ltd,Burleigh Waters,4220.0,,,"Improve functionality of ""Run your own Tender"" software",Burleigh Waters,4220.0,,18/07/2016,Gold Coast (C),Gold Coast,Burleigh,36667.0
849,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 3,Synergy Eight Pty Ltd,Wooloowin,4030.0,,,Software to solve digital marketing issues.,Wooloowin,4030.0,,18/07/2016,Brisbane (C),Brisbane and Redlands,Clayfield,37167.0
850,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 3,Amtac Professional Services Pty Ltd,Greenbank,4124.0,,,Wireless sensors to monitor liquid waste,Greenbank,4124.0,,18/07/2016,Logan (C),Logan,Logan,26320.0
851,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 2,OakBridge Investments Pty Ltd AFT McKinnon Family Trust,Forest Lake,4078.0,,,Create a new software management package for the childcare industry that will get Children off the waiting lists and into centres by better utilising assets.,Forest Lake,4078.0,,17/05/2016,Brisbane (C),Ipswich,Inala,50000.0
852,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 2,Fusion Sport Pty Ltd,Sumner Park,4074.0,,,Developing analytical and visualisation tools to prevent human injuries in the sports industry and broader fields,Sumner,4074.0,,17/05/2016,Brisbane (C),Ipswich,Mount Ommaney,50000.0
853,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 2,Opmantek Ltd,Surfers Paradise,4217.0,,,Create a technology to enable automatic payment and licence generation for Opmantek's customers which will improve service and business efficiency,Surfers Paradise,4217.0,,17/05/2016,Gold Coast (C),Gold Coast,Surfers Paradise,45625.0
854,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 2,Riverlife Pty Ltd,Kangaroo Point,4169.0,,,Creating a personal safety recorder box to decrease crime rates,Kangaroo Point,4169.0,,17/05/2016,Brisbane (C),Brisbane and Redlands,South Brisbane,35200.0
855,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 2,Q-Pharm Pty Limited,Herston,4006.0,,,Creation of an integrated volunteer management system,Herston,4006.0,,17/05/2016,Brisbane (C),Brisbane and Redlands,McConnel,48889.0
856,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2017-18 Round 1,Dec-UAV Pty Ltd - Aitkenvale,Aitkenvale,4814.0,,,Complex drone operation risk assessment system,Aitkenvale,4814.0,,23/10/2017,Townsville (C),Townsville,Mundingburra,42529.0
857,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Griffith University,Meadowbrook,4131.0,,,Coordinating role and mentoring of employing a Graduate - Synapse Australia Ltd (formerly - Brain Injury Association of Queensland),West End,4101.0,,7/11/2016,Logan (C),Brisbane and Redlands,Waterford,10800.0
858,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Griffith University,Nathan,4111.0,,,Coordinating role and mentoring of employing a Graduate - BiVacor Pty Ltd,Wilston,4051.0,,7/11/2016,Brisbane (C),Brisbane and Redlands,Toohey,6750.0
859,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Central Queensland University,Norman Gardens,4701.0,,,Coordinating role and mentoring of employing a Graduate - Central Highlands Science Centre,Emerald,4720.0,,7/11/2016,Rockhampton (R),Central Queensland,Keppel,10800.0
860,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 3,The University of Queensland,St Lucia,4067.0,,,Coordinating and mentoring of employing a graduate - Synergy Eight Pty Ltd,Wooloowin,4030.0,,18/07/2016,Brisbane (C),Brisbane and Redlands,Maiwar,10800.0
861,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Central Queensland University,Branyan,4670.0,,,Coordinating role and mentoring of employing a Graduate - Community Lifestyle Support,Rubyanna,4670.0,,7/11/2016,Bundaberg (R),Wide Bay,Bundaberg,10800.0
862,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Queensland University of Technology,Brisbane City,4000.0,,,Coordinating role and mentoring of employing a Graduate - All Energy Pty Ltd,Spring Hill,4000.0,,7/11/2016,Brisbane (C),Brisbane and Redlands,McConnel,7200.0
863,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Queensland University of Technology,Brisbane City,4000.0,,,Coordinating role and mentoring of employing a Graduate - Foresters Community Finance Limited,Bowen Hills,4006.0,,7/11/2016,Brisbane (C),Brisbane and Redlands,McConnel,5400.0
864,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Queensland University of Technology,Brisbane City,4000.0,,,Coordinating role and mentoring of employing a Graduate - Dingo Software Pty Ltd,Wilston,4051.0,,7/11/2016,Brisbane (C),Brisbane and Redlands,McConnel,10800.0
865,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 4,James Cook University,Douglas (Townsville),4814.0,,,Coordinating role and mentoring of employing a Graduate - Sealink Queensland,Townsville,4810.0,,7/11/2016,Townsville (C),Townsville,Mundingburra,10800.0
866,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 4,James Cook University,Douglas (Townsville),4814.0,,,Coordinating role and mentoring of employing a Graduate - Campbell Scientific Australia Pty Ltd,Garbutt,4814.0,,7/11/2016,Townsville (C),Townsville,Mundingburra,10800.0
867,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 3,The University of Queensland,St Lucia,4067.0,,,Coordinating role and mentoring of employing a Graduate - Engineroom Infrastructure Consulting,Wootha,4552.0,,18/07/2016,Brisbane (C),Sunshine Coast,Maiwar,10800.0
868,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 2,The University of Queensland,St Lucia,4067.0,,,Coordinating role and mentoring of employing a Graduate - Q-Pharm Pty Ltd,Herston,4006.0,,17/05/2016,Brisbane (C),Brisbane and Redlands,Maiwar,10800.0
869,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 2,The University of Queensland,St Lucia,4067.0,,,Coordinating role and mentoring of employing a Graduate - Axiom Project Services Pty Ltd,Brisbane City,4000.0,,17/05/2016,Brisbane (C),Brisbane and Redlands,Maiwar,10800.0
870,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 2,The University of Queensland,St Lucia,4067.0,,,Coordinating role and mentoring of employing a Graduate - OakBridge Investments Pty Ltd AFT McKinnon Family Trust,Forest Lake,4078.0,,17/05/2016,Brisbane (C),Ipswich,Maiwar,8100.0
871,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 2,The University of Queensland,St Lucia,4067.0,,,Coordinating role and mentoring of employing a Graduate - CB Aerospace Pty Ltd,Hemmant,4174.0,,17/05/2016,Brisbane (C),Brisbane and Redlands,Maiwar,10800.0
872,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2017-18 Round 1,The University of Queensland,St Lucia,4067.0,,,Coordinating role and mentoring of employing a Graduate - Engineroom Infrastructure Consulting,Wootha,4552.0,,23/10/2017,Brisbane (C),Sunshine Coast,Maiwar,10800.0
873,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 3,Griffith University,South Brisbane,4101.0,,,Coordinating role and mentoring of employing a Graduate - Like a Photon Creative Pty Ltd,Woolloongabba,4102.0,,18/07/2016,Brisbane (C),Brisbane and Redlands,South Brisbane,10800.0
874,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 3,Queensland University of Technology,Brisbane City,4000.0,,,Coordinating role and mentoring of employing a graduate - Webstersgroup Pty Ltd,Fortitude Valley,4006.0,,18/07/2016,Brisbane (C),Brisbane and Redlands,McConnel,10800.0
875,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 3,Griffith University,Nathan,4111.0,,,Coordinating role and mentoring of employing a graduate - Amtac Professional Services,Greenbank,4124.0,,18/07/2016,Brisbane (C),Logan,Toohey,7200.0
876,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 2,University of the Sunshine Coast,Sippy Downs,4556.0,,,Coordinating role and mentoring of employing a Graduate - Bondi Labs Pty Ltd,New Farm,4005.0,,17/05/2016,Sunshine Coast (R),Brisbane and Redlands,Buderim,10800.0
877,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 3,Central Queensland University,Norman Gardens,4701.0,,,Coordinating role and mentoring of employing a Graduate - Be Psyched,Townsville City,4810.0,,18/07/2016,Rockhampton (R),Townsville,Keppel,10800.0
878,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Queensland University of Technology,Kelvin Grove,4059.0,,,Coordinating role and mentoring of employing a Graduate - Queensland Ballet - Anja Ali-Haapala,West End,4101.0,,7/11/2016,Brisbane (C),Brisbane and Redlands,McConnel,9000.0
879,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2016-17 Round 4,Queensland University of Technology,Brisbane City,4000.0,,,Coordinating role and mentoring of employing a Graduate - Carton Cloud Pty Ltd,Burleigh Heads,4220.0,,5/09/2017,Brisbane (C),Gold Coast,McConnel,9000.0
880,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2016-17 Round 4,Queensland University of Technology,Brisbane City,4000.0,,,Coordinating role and mentoring of employing a Graduate - ImmersaView,Banyo,4014.0,,5/09/2017,Brisbane (C),Brisbane and Redlands,McConnel,2925.0
881,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2016-17 Round 3,University of the Sunshine Coast,Sippy Downs,4556.0,,,Coordinating role and mentoring of employing a Graduate - Becker Helicopter - Mr Qiang Fu Services,Marcoola,4564.0,,26/06/2017,Sunshine Coast (R),Sunshine Coast,Buderim,900.0
882,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2016-17 Round 3,Queensland University of Technology,Brisbane City,4000.0,,,Coordinating role and mentoring of employing a Graduate - The 400 Co.,New Farm,4005.0,,26/06/2017,Brisbane (C),Brisbane and Redlands,McConnel,5400.0
883,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2016-17 Round 3,The University of Queensland,St Lucia,4067.0,,,Coordinating role and mentoring of employing a Graduate - Gilmour Space Technologies Pty Ltd,Pimpama,4209.0,,26/06/2017,Brisbane (C),Gold Coast,Maiwar,10800.0
884,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2017-18 Round 1,Queensland University of Technology,Chermside,4032.0,,,Coordinating role and mentoring of employing a graduate - Field Orthopaedics Pty Ltd,Spring Hill,4000.0,,23/10/2017,Brisbane (C),Brisbane and Redlands,Stafford,10800.0
885,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2017-18 Round 1,Queensland University of Technology,Brisbane City,4000.0,,,Coordinating role and mentoring of employing a graduate - FlyFree.ly,Aitkenvale,4814.0,,23/10/2017,Brisbane (C),Townsville,McConnel,10800.0
886,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2017-18 Round 1,James Cook University,Douglas (Townsville),4814.0,,,Coordinating role and mentoring of employing a graduate - Calxa Pty Ltd,Townsville City,4810.0,,23/10/2017,Townsville (C),Townsville,Mundingburra,10800.0
887,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2016-17 Round 4,The University of Queensland,St Lucia,4067.0,,,Coordinating role and mentoring of employing a Graduate - The Water and Carbon Group,Brisbane City,4000.0,,5/09/2017,Brisbane (C),Brisbane and Redlands,Maiwar,10800.0
888,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2017-18 Round 1,James Cook University,Douglas (Townsville),4814.0,,,Coordinating role and mentoring of employing a graduate - DEC-MECH Pty Ltd,Aitkenvale,4814.0,,23/10/2017,Townsville (C),Townsville,Mundingburra,10800.0
889,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2016-17 Round 2,University of the Sunshine Coast,Sippy Downs,4556.0,,,Queensland Oztag,Caloundra,4551.0,,4/05/2017,Sunshine Coast (R),Sunshine Coast,Buderim,9112.0
890,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2016-17 Round 1,The University of Queensland,St Lucia,4067.0,,,Coordinating role and mentoring of employing a Graduate - GIS People Pty Ltd,Fortitude Valley,4006.0,,21/11/2016,Brisbane (C),Brisbane and Redlands,Maiwar,10800.0
891,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2016-17 Round 2,James Cook University,Smithfield,4878.0,,,Agapeflows Pty Ltd,Enoggera,4051.0,,4/05/2017,Cairns (R),Brisbane and Redlands,Barron River,10800.0
892,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2016-17 Round 1,Queensland University of Technology,Brisbane City,4000.0,,,Coordinating role and mentoring of employing a Graduate - Exploration Drill Rigs Pty Ltd,Redbank,4301.0,,21/11/2016,Brisbane (C),Ipswich,McConnel,10800.0
893,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2016-17 Round 1,Bond University Limited,Robina,4226.0,,,Coordinating role and mentoring of employing a Graduate - Digital Syndicate Studios,Varsity Lakes,4227.0,,21/11/2016,Gold Coast (C),Gold Coast,Mermaid Beach,10800.0
894,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2016-17 Round 1,Griffith University,Meadowbrook,4131.0,,,Coordinating role and mentoring of employing a Graduate - Community Information Support Services - Elizabeth Eldridge,Fortitude Valley,4006.0,,21/11/2016,Logan (C),Brisbane and Redlands,Waterford,8100.0
895,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2016-17 Round 2,The University of Queensland,St Lucia,4067.0,,,Coordinating role and mentoring of employing a Graduate - Biarri Optimisation,Brisbane City,4000.0,,4/05/2017,Brisbane (C),Brisbane and Redlands,Maiwar,6300.0
896,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2016-17 Round 2,University of the Sunshine Coast,Sippy Downs,4556.0,,,Mindstar Enterprises Pty Ltd,Marcoola,4564.0,,4/05/2017,Sunshine Coast (R),Sunshine Coast,Buderim,10800.0
897,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships-Partner 2016-17 Round 2,Queensland University of Technology,Brisbane City,4000.0,,,Synengco Pty. Ltd.,Highgate Hill,4101.0,,4/05/2017,Brisbane (C),Brisbane and Redlands,McConnel,10800.0
